FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_MCAL_MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_ BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_OP_OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CUR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_ REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER-REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON
106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL AND MC - EUCLID,1/1/2021,12/31/2021,365,Audited,Excl. Ind. Audit Adj.,Orange,13,1014,Investor,General,Comparable,,714-966-7000,17100 EUCLID ST.,FOUNTAIN VALLEY,92708,CLAY FARELL,CEO,WWW.FOUNTAINVALLEYHOSPITAL.COM,TENET HEALTHCARE CORPORATION,MARIBEL SOLLER,TENET HEALTHSYSTEM MEDICAL INC.,,05-0570,1821002007,ZZT30570F,400,344,208,16793,14587,7303,28199,66,337,7598,62,748,75693,2657,2488,1113,6064,14,82,1785,35,294,14532,400,0,0,0,0,0,75693,0,0,0,0,0,14532,0,0,0,0,0,51.8,60.3,5.2,5.2,55,3156,1557,4272,6073,2703,29811,9,2461,11631,364,2415,59739,41961,6166,0,15700,0,9,631260,825045,4020,5638,1076,576,3160161708,2852211044,81515444,389466108,-5574210,385886151,-1994253,85003,10568,0,0,-1919818,426357858,247374075,2486429775,481969561,463663155,172652975,864000643,1712203,9603361,240278089,2247859,26344682,2262472528,77849965,135336180,30932365,495362988,120144,12871981,124805261,3803989,16606307,897689180,507120965,547133686,159438862,1203450190,-17062001,1767140,19552096,324505136,20034964,0,64313325,0,21956681,4180254,77335190,0,0,52698561,56045903,35218152,200977481,65207,2923246,40578214,0,959344,0,0,0,0,0,0,84845999,16994911,123912423,0,0,0,198803,58589498,19290563,66777505,15276449,121425983,46984383,10624581,19859374,60150113,64084043,9689255,6646643,4321412,33474,42066890,188191408,0,95248796,3349133,276951978,14233768,577975083,104050666,11066153,2158527,460699737,577975083,0,244729834,-182951437,117550999,76859817,222429614,127180818,0,3407815,0,3407815,1249288,276931090,0,1291,643,2352158,444445,2796603,653,3,121320,542194,1030439,7445,207836,301778,29578,0,92637,18931,970972,116433,811481,0,266307,17351,169614,0,1179880,141586,943391,0,306018,19378,206350,0
106014034,FREMONT HOSPITAL,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,421,Investor,Psychiatric,Comparable,,510-574-4825,39001 SUNDALE DRIVE,FREMONT,94538,PATRICIA WILLIAMS,CEO,WWW.FREMONTHOSPITAL.COM,"UHS OF DELAWARE, INC.",RUTH ANN SMOTHERMAN,"UHS OF DELAWARE, INC.",,05-4110,,HSP34110F,148,148,120,4360,2572,6371,0,8500,2295,16049,14,77,40238,339,237,869,0,881,371,2449,3,13,5162,0,148,0,0,0,0,0,40238,0,0,0,0,0,5162,0,0,0,0,74.5,74.5,7.8,7.8,0,0,0,294,85,0,0,0,1942,3817,28,8,6174,0,0,0,0,0,0,0,0,0,0,0,0,100267880,36960321,0,63307559,3949,44407263,18904245,1140836,2442,643618,0,19399021,95364060,3696680,1207140,10464000,6172800,15290400,0,20400000,5508000,38517488,33712,184800,96571200,76180,39000,0,0,0,1173120,2387642,17098,3640,3696680,4624816,2390603,5300120,0,0,7028405,2764804,13787667,920697,0,50810,0,92399,0,0,0,0,5809305,3758698,9836532,0,13166468,3847988,26703813,0,184755,0,0,0,0,0,0,19977049,1173812,396599,0,0,0,0,8309304,3344858,9056311,2149330,25441421,4301127,3278925,0,2058763,2854816,1402357,149744,566717,0,4353393,14341930,0,28263221,79176,80783377,66393807,189861511,7253702,0,0,182607809,189861511,0,14037390,-810999,30773716,3721490,40244774,11981553,0,0,0,0,0,79882024,0,264,63,481781,67336,549117,18,0,69466,188831,113689,17157,8,41680,30671,20279,0,0,250213,17916,0,0,95158,45339,73155,0,291395,20300,0,0,106130,51387,79905,0
106400480,FRENCH HOSPITAL MEDICAL CENTER - SAN LUIS OBISPO,7/1/2021,6/30/2022,365,In Process,Incl. Ind. Audit Adj.,San Luis Obispo,8,801,Non-Profit,General,Comparable,,805-542-6300,1911 JOHNSON AVENUE,SAN LUIS OBISPO,93401,ALAN IFTINIUK,CEO,WWW.FRENCHMEDICALCENTER.ORG,DIGNITY HEALTH,CHRISTINE KEITH,COMMONSPIRIT HEALTH,,05-0232,HSC30232H,HSP40232H,98,91,60,9281,2452,478,2502,0,600,4590,60,185,20148,2061,549,109,581,0,132,1382,26,53,4893,98,0,0,0,0,0,20148,0,0,0,0,0,4893,0,0,0,0,0,56.3,60.7,4.1,4.1,0,0,0,49161,10082,1597,15241,0,4705,38276,2054,402,121518,24304,989,0,95970,2834,8,153165,269580,990,3055,465,217,891157586,713540091,22124526,199742021,2296054,196071255,5966820,2582319,235484,0,0,8313655,134291092,72308006,684558488,238445176,68004567,11338529,48559514,0,15728268,103298828,2137677,864193,488376752,172686074,34990572,4347149,43471675,0,15683833,123624047,6414003,1563481,402780834,348319768,88119861,11852309,88049374,0,0,25294020,132195021,2550127,0,6754315,0,10405296,0,6400182,0,15724344,59257766,13982137,2522233,10192211,0,5564805,107216538,380566,625765,0,1425666,22984,-234497,0,0,44237556,8981837,66737959,7018642,0,0,0,24457169,6372602,29573391,8692099,52426414,22574669,13344863,18912072,31322899,35120665,9824471,1971462,474193,3147582,6951965,40410437,0,77455275,19362414,12341403,0,149569529,43621552,0,56485706,49462271,149569529,0,122208301,-94731774,62599859,33718771,104461602,27006327,0,0,30730933,58730933,2245227,157147,28000000,525,198,1099644,116496,1216140,356,0,114334,247748,313635,0,21741,123027,74742,81186,76979,46252,311923,90056,350677,0,168958,45486,129110,3434,343506,97786,391622,0,187145,51372,140945,3764
106104047,FRESNO SURGICAL HOSPITAL,1/1/2021,12/31/2021,365,Audited,Excl. Ind. Audit Adj.,Fresno,9,605,Investor,Specialty,Comparable,,559-431-8000,6125 NORTH FRESNO STREET,FRESNO,93710,DANIELLE HOLDRIDGE-ZEUNER,CEO,WWW.FRESNOSURGICALHOSPITAL.COM,FSC HOSPITAL,JEFFREY N. BROWN,HOSPITAL MANAGEMENT SERVICES,,05-0708,,HSP40708F,27,27,7,1061,245,0,108,0,173,670,0,3,2260,455,109,0,80,0,93,360,0,2,1099,27,0,0,0,0,0,2260,0,0,0,0,0,1099,0,0,0,0,0,22.9,22.9,2.1,2.1,0,0,0,7251,1334,47,1057,0,831,6136,0,260,16916,0,0,0,1574,0,9,107785,425813,1093,15342,0,0,324040895,231965855,0,92075040,166770,87945567,4296243,987859,0,0,0,5284102,5888900,0,318151995,32745776,7424696,0,3427487,0,5069600,24008677,0,125727,72801963,86930550,28744738,885185,21788772,0,9643053,100001898,0,3244736,251238932,83131674,25598978,784111,23405247,0,0,9755026,84930329,4360490,0,0,0,0,0,0,0,0,35107692,10570456,101074,1811012,0,4957627,39080246,0,446933,0,0,0,22590,0,0,5479172,0,51071664,0,0,0,0,10896154,3541024,11888481,5069072,23258275,6455581,2511446,2692407,35131400,4889459,5983784,920207,158147,85896,5858965,29120973,0,63947167,0,137978,78765214,171971332,80006745,0,1818430,90146157,171971332,14051084,16215441,-4364643,55966453,6761933,72915626,8968459,0,5370361,0,5370361,3551931,0,11203414,308,91,574105,89691,663796,191,0,57067,117349,123645,8513,36857,130712,60145,15679,20721,3417,60482,0,254097,0,144762,76411,38353,0,70930,0,292187,0,169009,87528,44142,0
106301283,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Orange,13,1012,Investor,General,Comparable,,714-537-5160,12601 GARDEN GROVE BLVD,GARDEN GROVE,92843,RICHARD ROWE,CEO,WWW.GARDENGROVEHOSPITAL.COM,"PRIME HEALTHCARE SERVICES, INC.",JEFFREY N. BROWN,HOSPITAL MANAGEMENT SERVICES,,05-0230,HSC30230F,,167,132,44,5943,3349,1649,3612,0,759,362,0,70,15744,981,599,323,777,0,127,99,0,49,2955,167,0,0,0,0,0,15744,0,0,0,0,0,2955,0,0,0,0,0,25.8,32.7,5.3,5.3,12,0,0,1257,1474,2415,9427,0,1599,1785,0,1417,19374,20934,0,0,1372,0,6,35304,1086,370,16,0,0,300540726,223704220,0,76836506,4615491,69331614,12120383,803785,3332878,0,0,9591290,66652492,46448879,187439355,79783438,46567816,22994499,52181011,0,12721917,4682265,0,1121231,220052177,7213824,8955760,11552948,35232616,0,6700822,6756025,0,4076554,80488549,66044373,43785649,19887576,67989545,-1841155,0,12186461,7178482,5395659,0,1462689,0,1614941,0,0,0,0,19982182,11730373,15060931,20695542,0,4480728,2790444,0,2096306,0,0,0,0,0,0,12772223,5463961,14550498,0,0,0,0,10944967,2099446,19810362,3690157,27421104,9508631,1051482,3474472,6271682,6746590,1573103,398781,841641,564,12043564,96509389,0,24501843,3266510,295722,0,124573464,23442475,0,26440206,74690783,124573464,297022,69960781,-60857854,20788354,25992769,54033142,29531299,25000000,2157654,0,27157654,717448,0,290219,341,100,663402,63406,726808,255,0,47767,251094,189746,0,18723,59681,60716,18783,0,16892,172051,69650,118799,0,152532,41934,108436,0,191683,74566,133240,0,168714,44886,113719,0
106190315,GARFIELD MEDICAL CENTER,7/1/2021,6/30/2022,365,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,913,Investor,General,Comparable,,626-307-2010,525 N. GARFIELD AVE,MONTEREY PARK,91754,HERBERT VILLAFUERTE,CEO,,GARFIELD MEDICAL CENTER,LINDA MARSH,"AHMC HEALTHCARE, INC.",,05-0737,HSC30432I,ZZT30432I,210,210,128,12969,11006,2753,10237,0,961,6759,119,545,45349,1700,1884,584,2261,0,144,1405,22,206,8206,182,0,0,28,0,0,40623,0,0,4726,0,0,7890,0,0,316,0,0,59.2,59.2,5.5,5.5,26,2255,1065,9418,13162,1848,19453,0,1805,13014,161,1528,60389,16617,0,0,46135,0,10,250249,246206,2040,2072,1144,286,1577955616,1389054615,112773776,301674777,950645,300232662,2392760,830362,0,800,0,3222322,255373870,85825163,1236756583,284866100,310543500,59222292,294785479,0,17973095,177841934,2064247,19655896,1166952543,68698238,96649677,10724021,125197530,0,11424734,88926410,891695,8490768,411003073,315657583,345189129,64660607,406996116,-3671372,0,24137480,214895732,7300458,0,2955942,0,10932940,0,112773776,0,0,37906755,62004048,8956963,125760784,0,5260349,51872612,0,9913266,0,0,0,343250,0,0,47953597,6842218,73185324,0,0,0,0,19370160,18104094,118680085,16097184,74341342,23301047,5110372,1354777,36263566,72850790,6671526,8528777,2612845,746266,68451354,184668840,0,18521245,2187168,0,8663276,214040529,153531308,0,0,60509221,214040529,137933873,295277059,-268330346,15086469,16888610,41781232,23259987,0,0,0,0,0,0,2922179,850,361,1524611,256019,1780630,817,0,100904,352387,583460,16461,141931,257680,58926,0,9091,3771,588889,109420,418950,0,193136,68476,145740,0,674302,128549,507650,0,222733,80530,166866,0
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,7/1/2021,6/30/2022,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,925,Non-Profit,Psychiatric,Comparable,,323-644-2000,1891 EFFIE STREET,LOS ANGELES,90026,PHIL WONG,CEO,WWW.GATEWAYSHOSPITAL.ORG,GATEWAYS HOSPITAL,JEFFREY N. BROWN,HOSPITAL MANAGEMENT SERVICES,,05-4028,,,55,55,37,0,0,0,0,11704,1548,0,0,0,13252,0,0,0,0,195,221,0,0,0,416,0,55,0,0,0,0,0,13252,0,0,0,0,0,416,0,0,0,0,66,66,31.9,31.9,0,0,0,0,0,0,0,64192,17964,0,0,0,82156,0,81288,0,868,0,0,0,0,0,0,0,0,40181926,6217715,0,33964211,45895,35942306,-1932200,3127484,1088956,0,0,106328,12904641,19586093,7691192,0,0,0,0,18111710,2484123,0,0,0,20595833,0,0,0,0,10283516,9302577,0,0,0,19586093,0,0,0,0,0,4393841,1823874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24001385,9962826,0,0,0,0,0,208973,106241,0,0,5191383,14456550,4106722,0,0,0,0,4981078,1584488,4091309,1530776,18873573,5046821,1659587,1087260,1772011,3050992,827556,653270,60472,316199,2594565,18284746,803255,9395006,0,1702868,0,30185875,4221828,14860,6993849,18955338,30185875,5237188,2346033,0,18180893,3172075,24114651,14719645,0,0,0,7308466,314617,1716067,0,278,24,518039,60893,578932,11,0,106807,249440,39914,10026,0,58030,51425,2397,0,0,80336,248480,48403,0,83995,16187,40638,0,88923,278144,55260,0,94012,18072,44521,0
106270777,GEORGE L. MEE MEMORIAL HOSPITAL,10/1/2020,9/30/2021,365,Audited,Excl. Ind. Audit Adj.,Monterey,8,709,Non-Profit,General,Comparable,Rural,831-385-6000,300 CANAL STREET,KING CITY,93930,RENA SALAMACHA,CEO,,COUNTY OF SOUTHERN MONTEREY,CHRISTINE PONCE,"TOYON ASSOCIATES, INC.",,05-0189,,ZZR00189F,73,61,38,10764,19,266,1445,0,333,508,92,25,13452,279,6,68,66,0,10,64,2,2,497,25,0,0,0,48,0,1199,0,0,0,12253,0,400,0,0,0,97,0,50.5,60.4,27.1,3,0,0,0,12910,814,7483,48548,0,1236,20995,215,4424,96625,11764,51551,0,26089,0,3,5770,10432,115,608,0,0,178201020,105632421,0,72568599,2340471,60686892,14222178,7279429,0,0,0,21501607,21004725,52301678,104894617,20115182,382851,2955224,15773486,0,355990,3143693,88913,219417,43034756,26109666,1510475,13781869,63790888,0,2632902,21133134,339669,5867661,135166264,37644112,1757864,5337166,36839542,-307581,0,1903341,14470975,-273994,0,2533258,0,5727738,0,0,0,0,8580736,135462,10076601,42251063,0,1085551,9805852,0,633334,0,-11646450,0,7209456,0,0,6641483,14294008,13903926,0,0,0,0,9370499,3911128,9722253,2843595,21243827,10621750,6143995,3365380,3559855,10376546,2428025,979228,388031,509725,1070530,10917786,5123051,20658205,1130979,0,0,37830021,24344119,0,7657013,5828889,37830021,3824335,33794457,-29291723,30372744,21518385,54177176,33518971,0,0,0,9980547,2323534,0,0,276,58,506276,67872,574148,83,0,90321,169518,64524,20717,35826,106651,5622,13097,0,0,90049,149495,99738,0,39450,56730,70814,0,102660,170687,113246,0,45255,63977,78323,0
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,7/1/2021,6/30/2022,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,909,Non-Profit,General,Comparable,,818-502-1900,1429 SOUTH CENTRAL AVENUE,GLENDALE,91204-2594,JILL WELTON,CEO,GLENDALEMEMORIAL.COM,DIGNITY HEALTH,CHRISTINE KEITH,COMMONSPIRIT HEALTH,,05-0058,HSC30058F,ZZT30058F,304,304,128,13401,5233,8237,10847,0,163,3912,708,81,42582,2283,1080,1567,2688,0,52,1008,223,32,8933,241,49,0,14,0,0,31623,7099,0,3860,0,0,7342,1225,0,366,0,0,38.4,38.4,4.8,4.8,13,2058,1089,10109,4838,4768,27453,0,714,13470,2524,22,63898,31204,19450,0,15884,3158,8,197295,155865,1669,1774,705,492,1105697270,912210000,15655157,209142427,2667938,265960870,-54150505,5847256,1500350,0,0,-49803599,228503089,106430506,770763675,242468603,118812705,75076913,210265450,0,3420985,79383986,10500985,733800,740663427,103228716,40645030,14842069,125565764,0,3564472,66960280,9916013,311499,365033843,287481112,132483030,70086628,284623862,-4622146,0,5524961,98222952,8067708,0,15729119,0,14612774,35203,15619954,0,0,54669292,26318391,19041696,62481758,0,1303554,43835693,1452915,39128,0,50778,0,346364,0,0,59472422,16692286,66607125,9760760,0,556241,0,37485038,5512926,43831698,26042374,78658086,40234775,7975741,14022394,29832761,46767638,8912509,1029781,1818223,17943169,18765793,55515490,0,115979834,15655652,10198533,0,197349509,84909419,0,374038602,-261598512,197349509,0,218336963,-190539940,48633719,35372388,133092528,17112694,0,1265373,21290224,376555597,2516995,0,354982831,762,309,1474555,191601,1666156,288,0,136742,317105,487341,16558,88347,119109,150167,78819,49852,30515,523972,142903,372581,4296,289422,7827,133554,0,602497,162108,418480,5028,320061,8452,149530,0
106190328,GLENDORA HOSPITAL,6/17/2021,12/31/2021,198,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,915,Investor,Psychiatric,Comparable,,866-410-5454,150 WEST ROUTE 66,GLENDORA,91740-6207,DOUGLAS MACKAY,ADMINISTRATOR,WWW.GLENDORAHOSPITAL.COM,"CHLB, LLC",DONNA ANGLIN,"2552PRO+, LLC",,05-4157,,,63,62,34,4365,1329,110,16,0,349,0,24,0,6193,238,87,11,1,0,37,0,1,0,375,0,63,0,0,0,0,0,6193,0,0,0,0,0,375,0,0,0,0,49.6,50.4,16.5,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10850587,4622122,0,6228465,8195,8917832,-2681172,0,343953,0,0,-3025125,9027054,0,1823533,7610805,2357568,174003,30018,0,632358,0,45835,0,10850587,0,0,0,0,0,0,0,0,0,0,3194689,989724,123542,24602,0,0,236104,0,7626,0,45835,0,0,0,0,0,0,4408490,1367844,50461,5416,0,396254,0,0,0,0,0,0,0,0,0,2342121,0,181168,0,0,0,0,2046330,347871,2929872,1070470,3819673,933775,22100,882144,490762,1312007,451165,25284,284368,295474,401080,5585940,0,22275406,91795,0,2380026,30333167,10337438,0,15499212,4496517,30333167,1719843,5590755,-2154090,13790000,1301304,22601304,325898,0,0,0,16345444,846232,0,5839704,55,24,109667,5070,114737,12,0,21325,9547,17162,8310,25268,12990,14047,1010,8,0,50897,0,4797,0,27962,8040,17971,0,53183,0,4946,0,29581,8426,18601,0
106420483,GOLETA VALLEY COTTAGE HOSPITAL,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Santa Barbara,10,807,Non-Profit,General,Comparable,,805-967-3411,351 S. PATTERSON AVENUE,SANTA BARBARA,93111,RONALD C. WERFT,CEO,COTTAGEHEALTHSYSTEM.ORG,GOLETA VALLEY COTTAGE HOSPITAL,SCOTT BESLER,"TOYON ASSOCIATES, INC.",,05-0357,1225038136,ZZT30357F,52,24,9,1647,244,61,268,0,64,730,0,46,3060,666,95,24,105,0,25,286,0,18,1219,52,0,0,0,0,0,3060,0,0,0,0,0,1219,0,0,0,0,0,16.1,34.9,2.5,2.5,0,0,0,18816,2261,1514,8678,0,1324,19189,0,1117,52899,18971,0,0,32402,0,6,161228,148930,828,1831,0,0,289431314,185007129,0,104424185,3976344,89871668,18528861,7202057,140050,0,0,25590868,15961794,32881842,240587678,54533295,7124249,1075517,6205675,0,3029916,27021475,0,2828601,101818728,74470843,8161569,4294107,27608615,0,4628716,64884701,0,3564035,187612586,103153280,12787061,4551824,25981108,0,0,4828871,22295908,2270488,0,2695717,0,6442872,0,0,0,0,25044681,2346946,731755,7705778,0,2499969,65323728,0,771328,0,3708547,0,7144502,0,0,4306673,6025295,36446939,0,0,0,0,21537739,3120688,11769053,6665281,27202338,6702689,2530506,190129,17484672,22993349,8194269,62172,0,0,4511544,112800022,0,97884389,3989765,7180615,0,221854791,11679419,669991,0,209505381,221854791,9636417,24307449,-12782148,119892586,27520172,159941268,62056879,0,0,0,0,0,14469981,2960081,247,62,467914,52454,520368,121,0,48104,183993,96648,4458,26726,21337,71917,7111,744,6876,47818,65755,191089,0,120191,0,43061,0,54181,71346,216133,0,131743,0,46965,0
106150775,GOOD SAMARITAN HOSPITAL - BAKERSFIELD,1/1/2021,12/31/2021,365,Audited,Excl. Ind. Audit Adj.,Kern,9,617,Investor,General,Comparable,,805-399-4661,901 OLIVE DR.,BAKERSFIELD,93308,BASRA AMANDEEP,CEO,WWW.GOODSAMHOSPITAL.COM,ALLIANCE INVESTMENT INC,FOSTER EVANS,HOSPITAL MANAGEMENT SERVICES,,05-0257,HSC30257G,ZZT30257G,64,64,35,1904,660,5192,3185,611,261,58,0,122,11993,540,110,716,706,61,40,6,0,27,2206,43,21,0,0,0,0,6099,5894,0,0,0,0,1613,593,0,0,0,0,51.3,51.3,5.4,5.4,0,0,0,1726,605,331,4378,0,590,2,0,414,8046,0,0,0,7782,0,2,19169,24421,185,264,0,0,51444171,27615466,0,23828705,7377909,36960047,-5753433,3156452,49,0,0,-2597030,33367710,0,18076461,3959194,2635429,19579561,15644509,1469012,1176742,179111,0,709805,45353363,1318003,388587,236407,3405075,0,267680,455,0,474601,6090808,3187838,1411004,9072485,11377989,-390653,607930,713383,88686,836091,0,362397,0,348316,0,0,0,0,2089359,1613012,10676029,7767305,861082,731039,90880,0,-1,0,0,0,22781,0,3133671,9486797,0,8292791,0,0,0,0,5919989,911135,10649332,1700003,13145125,3036241,896825,2301107,2331921,4829050,1900267,654266,262198,31057,7571990,8877644,0,2078908,0,0,0,10956552,3409234,0,28518525,-20971207,10956552,3192790,6960860,-2584247,2388843,6088791,8477634,6398726,0,26715,0,28540044,21519,0,28576622,224,80,422550,47444,469994,67,0,38650,92168,52349,27411,83797,61123,62547,0,2078,2427,165794,0,81827,0,101876,23550,49503,0,187445,0,89228,0,112436,25710,55175,0
106190392,GOOD SAMARITAN HOSPITAL - LA,10/1/2020,9/30/2021,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,925,Non-Profit,General,Comparable,,213-977-2121,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,JAMES R WEST,CEO,WWW.PIHHEALTH.ORG,"PIH HEALTH, INC.",RAINBOW JUNG,PIH HEALTH GOOD SAMARITAN HOSPITAL,,05-0471,HSC30471F,ZZT30471F,408,363,214,21239,14190,12804,14288,0,1287,8509,520,77,72914,3464,2400,2072,2912,0,151,1857,168,28,13052,357,0,0,23,28,0,66247,0,0,6667,0,0,12465,0,0,587,0,0,49,55,5.6,5.6,10,3083,1383,14814,6184,7386,15589,0,4280,14164,4064,28,66509,42482,1519,0,25517,1155,21,481256,354406,2593,4455,1170,455,2043210560,1674638085,28409874,396982349,20165929,450452173,-33303895,11783276,266693,0,0,-21787312,516153022,151097264,1375960274,431361757,319486432,242461823,302269106,0,26318707,194166112,12947171,2328805,1531339913,115881572,69110308,46433489,118789089,0,13001233,119008799,28322913,1323244,511870647,448634001,327753685,223364974,364572313,0,0,26813253,225270593,12948674,0,28050752,0,17229840,9825527,10654069,0,7930278,93856654,67261166,62879210,63223810,0,12199710,93356160,2947873,1257766,0,-9040434,942803,7552139,0,0,94632553,13896083,137715716,24045987,0,181488,1107385,66726320,10446773,86860488,14839380,153542517,32127077,15550838,43723891,83973414,70066232,9873083,4123103,1708022,628208,35135788,244823872,10049939,268640418,25000222,27606907,0,576121358,153152839,18509034,21841646,382617839,576121358,976293,239734768,-170549233,45888822,36814309,287126553,18486135,0,0,0,21841646,0,116347748,0,1390,529,2895654,427619,3323273,208,12,81269,937212,756863,7539,159215,326973,16256,178013,177503,254811,1007314,192840,751336,2447,601670,125542,214505,0,1173952,221774,879398,2784,651204,141990,252171,0
