FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,COUNTY,TYPE_CNTRL,TYPE_CARE,ADDRESS,CITY,ZIP_CODE,OWNER,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,TOT_ASST
106540816,ADVENTIST HEALTH TULARE,1/1/2021,12/31/2021,365,Tulare,Non-Profit,General,869 N. CHERRY STREET,TULARE,93724,ADVENTIST HEALTH,2323,0,0,0,0,0,8238049,277764,6459151,16642548,0,293551,1953596,0,0,47090497
106231396,ADVENTIST HEALTH UKIAH VALLEY,1/1/2021,12/31/2021,365,Mendocino,Non-Profit,General,275 HOSPITAL DRIVE,UKIAH,95482,ADVENTIST HEALTH,3415,0,0,0,0,0,73805109,7080202,10364947,75363831,0,7895554,46540547,0,629896,259016371
106481015,ADVENTIST HEALTH VALLEJO,1/1/2021,12/31/2021,365,Solano,Non-Profit,Psychiatric,525 OREGON STREET,VALLEJO,94590,ST HELENA HOSPITAL,0,2007,0,0,0,0,6464418,3270076,5267840,0,0,705386,10723804,0,11079,4214012
106190878,ADVENTIST HEALTH WHITE MEMORIAL,1/1/2021,12/31/2021,365,Los Angeles,Non-Profit,General,1720 CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033-2462,ADVENTIST HEALTH SYSTEM,14889,1998,0,169,174,0,57867853,66697836,114452732,167904446,0,12178143,29206617,0,10537751,784724749
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,365,Orange,Investor,General,111 WEST LA PALMA AVENUE,ANAHEIM,92801,"AHMC HEALTHCARE, INC.",6656,0,0,0,0,0,24888985,53965451,42263883,39722929,0,5172108,14592161,0,401556,59970753
106410817,AHMC SETON MEDICAL CENTER,7/1/2021,6/30/2022,365,San Mateo,Investor,General,1900 SULLIVAN AVENUE,DALY CITY,94015,"AHMC HEALTHCARE, INC.",1339,240,0,0,2655,0,42888766,34645234,4280907,51316442,0,26502925,29532495,0,117723,79012659
106010735,ALAMEDA HOSPITAL,7/1/2021,6/30/2022,365,Alameda,City/County,General,2070 CLINTON AVENUE,ALAMEDA,94501,ALAMEDA HEALTH SYSTEM,2394,0,0,0,177,0,25274369,5838052,42819670,14666198,0,951363,14888873,353577,17621,42355652
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,7/1/2021,6/30/2022,365,Los Angeles,Investor,General,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91802,ALHAMBRA HOSPITAL MEDICAL CENTER LP,3588,0,0,190,21,0,62675890,48582496,101551793,11865004,0,737210,11813911,0,98966,179078523
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,1/1/2021,12/31/2021,365,Alameda,Non-Profit,General,2450 ASHBY AVENUE,BERKELEY,94609,SUTTER HEALTH,10817,2214,0,0,0,0,99632511,31633590,61974651,81736610,78883,47753111,295622150,0,346106,325330445
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,1/1/2021,12/31/2021,365,Alameda,Non-Profit,General,350 HAWTHORNE AVENUE,OAKLAND,94609,SUTTER HEALTH,10102,0,0,808,0,0,129286962,48192673,43606188,78905766,75,30454394,166132755,0,115231,930756968
106370652,ALVARADO HOSPITAL,1/1/2021,12/31/2021,365,San Diego,Investor,General,6655 ALVARADO ROAD,SAN DIEGO,92120,"PRIME HEALTHCARE SERVICES, INC.",4896,253,0,0,0,0,46970199,13965559,14170373,28618055,18324,2945634,12308071,0,0,128517802
106370749,ALVARADO PARKWAY INSTITUTE BHS,1/1/2021,12/31/2021,365,San Diego,Investor,Psychiatric,7050 PARKWAY DRIVE,LA MESA,92042,"BH-SD OPCO, LLC",0,1892,126,0,0,0,13209703,3923189,3264471,0,0,9037882,1866649,0,55176,20187472
106194010,AMERICAN RECOVERY CENTER,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,Specialty,2180 WEST VALLEY BLVD,POMONA,91768,"BEHAVIORAL HEALTH SERVICES, INC",0,0,857,0,0,473,0,0,0,0,9071952,3800,0,0,0,9615633
106301188,ANAHEIM GLOBAL MEDICAL CENTER,1/1/2021,12/31/2021,365,Orange,Investor,General,1025 SOUTH ANAHEIM BLVD,ANAHEIM,92805,"KPC HEALTHCARE, INC.",2154,1409,0,0,0,0,11619710,7876917,24780307,21179129,0,849240,11107970,0,561398,30890604
106190034,ANTELOPE VALLEY HOSPITAL,7/1/2021,6/30/2022,365,Los Angeles,District,General,1600 WEST AVENUE J,LANCASTER,93534,ANTELOPE VALLEY HOSPITAL DISTRICT,17481,469,0,0,0,0,77822050,100332694,52863166,100440814,0,10066067,117773778,0,2203280,580183773
106364231,ARROWHEAD REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,365,San Bernardino,City/County,General,400 NORTH PEPPER AVENUE,COLTON,92324,COUNTY OF SAN BERNARDINO,14951,3481,0,0,0,0,59665547,42706111,152198148,274158853,0,132244520,0,0,12424508,1013547767
106400683,ATASCADERO STATE HOSPITAL,7/1/2021,6/30/2022,365,San Luis Obispo,State,Specialty,10333 EL CAMINO REAL,ATASCADERO,93422,STATE OF CALIFORNIA,0,139,0,0,870,0,0,0,0,0,0,0,0,0,0,0
106494048,AURORA BEHAVIORAL HEALTHCARE - SANTA ROSA,1/1/2021,12/31/2021,365,Sonoma,Investor,Psychiatric,1287 FULTON ROAD,SANTA ROSA,95401,SIGNATURE HEALTHCARE SERVICES,0,2576,0,0,0,0,4532805,1153325,10257303,0,5097315,0,9893316,0,53432,22085431
106190163,AURORA CHARTER OAK,1/1/2021,12/31/2021,365,Los Angeles,Investor,Psychiatric,1161 EAST COVINA BOULEVARD,COVINA,91724,SIGNATURE HEALTHCARE SERVICES,0,6516,0,0,165,0,8451006,4185580,5050589,0,16452823,0,13935234,3244,170033,62847461
106190462,AURORA LAS ENCINAS HOSPITAL,1/1/2021,12/31/2021,365,Los Angeles,Investor,Psychiatric,2900 E DEL MAR BLVD,PASADENA,91107,SIGNATURE HEALTHCARE SERVICES,0,3295,0,0,212,0,7311046,1570269,184021,18913,8226493,1788762,14197663,45258,604344,17970648
106374024,AURORA SAN DIEGO,1/1/2021,12/31/2021,365,San Diego,Investor,Psychiatric,11878 AVENUE OF INDUSTRY,SAN DIEGO,92128,SIGNATURE HEALTHCARE SERVICES,0,2099,0,0,0,0,853910,1264964,68722,0,201710,0,34388183,6000,49717,37980274
106560203,AURORA VISTA DEL MAR HOSPITAL,1/1/2021,12/31/2021,365,Ventura,Investor,Psychiatric,801 SENECA STREET,VENTURA,93001,SIGNATURE HEALTHCARE SERVICES,0,2864,0,0,0,0,3792307,722063,3213021,0,2310914,0,7763195,429,75557,17140742
106154044,BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL,1/1/2021,12/31/2021,365,Kern,Investor,Psychiatric,5201 WHITE LANE,BAKERSFIELD,93309,SIGNATURE HEALTHCARE SERVICES,0,2335,0,0,0,0,1643749,352853,8215459,0,2304626,0,6186911,655,11789,5361771
106154101,BAKERSFIELD HEART HOSPITAL,1/1/2021,12/31/2021,365,Kern,Investor,Specialty,3001 SILLECT AVENUE,BAKERSFIELD,93308,"SURGERY CENTER HOLDINGS, INC. & DOCTORS HOSPITAL HOLDING, LLC",2563,0,0,0,0,0,28396881,10913647,110994,479196,0,1638152,4941370,0,24878781,128308993
106150722,BAKERSFIELD MEMORIAL HOSPITAL,7/1/2021,6/30/2022,365,Kern,Non-Profit,General,420 34TH STREET,BAKERSFIELD,93302,DIGNITY HEALTH,16559,0,0,0,0,0,91357052,69851347,39917764,141363895,0,12889773,176158631,0,472625,871000367
106364121,BALLARD REHABILITATION HOSPITAL,7/1/2021,6/30/2022,365,San Bernardino,Investor,General,1760 W. 16TH ST.,SAN BERNARDINO,92411,"VIBRA HEALTHCARE, LLC",0,0,0,880,0,0,6268703,4441584,2192250,5048926,0,0,7826551,0,0,42078967
106184008,BANNER LASSEN MEDICAL CENTER,1/1/2021,12/31/2021,365,Lassen,Non-Profit,General,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,BANNER HEALTH SYSTEM,884,0,0,0,0,0,12666958,363778,717409,6613708,0,4833208,15888134,0,1766211,39717311
106190052,BARLOW RESPIRATORY HOSPITAL,9/1/2020,8/31/2021,365,Los Angeles,Non-Profit,Specialty,2000 STADIUM WAY,LOS ANGELES,90026,BARLOW RESPIRATORY HOSPITAL,684,0,0,0,0,0,35303444,4637900,3029199,2019386,0,968612,10470305,0,0,94704934
106364430,BARSTOW COMMUNITY HOSPITAL,1/1/2021,12/31/2021,365,San Bernardino,Investor,General,820 EAST MOUNTAIN VIEW STREET,BARSTOW,92311,QUORUM HEALTH CORPORATION,2166,0,0,0,0,0,7206648,6304213,8437792,10864253,0,4453391,12647267,0,17184337,85864226
106090793,BARTON MEMORIAL HOSPITAL,1/1/2021,12/31/2021,365,El Dorado,Non-Profit,General,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,BARTON HEALTHCARE SYSTEM,1544,0,0,0,37,0,10303218,3586383,19367622,6980803,0,16127227,93899284,0,5730094,346571160
106361110,BEAR VALLEY COMMUNITY HOSPITAL,7/1/2021,6/30/2022,365,San Bernardino,District,General,"41870 GARSTIN, PO BOX 1649",BIG BEAR,92315,BEAR VALLEY COMMUNITY HOSPITAL,161,0,0,0,16,0,2301602,0,10646838,0,0,16618860,0,0,1092184,56301605
106190081,BEVERLY HOSPITAL,1/1/2021,12/31/2021,365,Los Angeles,Non-Profit,General,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,BEVERLY COMMUNITY HOSPITAL ASSOCIATION,7630,0,0,0,0,0,25923404,23125971,19940595,73067902,0,352347,27049908,0,258959,202093483
106190020,BHC ALHAMBRA HOSPITAL,1/1/2021,12/31/2021,365,Los Angeles,Investor,Psychiatric,4619 N ROSEMEAD BLVD,ROSEMEAD,91770,"UNIVERSAL HEALTH SERVICES, INC.",0,5065,0,0,0,0,6118210,910765,5165017,0,0,7515713,19341463,0,0,162520400
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,7/1/2021,6/30/2022,365,Butte,City/County,Psychiatric,592 RIO LINDO AVENUE,CHICO,95926,COUNTY OF BUTTE,0,338,0,0,0,0,0,0,0,0,0,1816535,0,0,0,0
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,General,1401 S. GRAND AVENUE,LOS ANGELES,90015,DIGNITY HEALTH,14985,0,0,0,0,0,25058577,33679700,80751442,319598841,0,4750141,46691515,4419440,184071,776981481
106384202,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,1/1/2021,12/31/2021,365,San Francisco,Non-Profit,General,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,94110,SUTTER WEST BAY HOSPITALS,4449,0,0,0,0,0,38207316,19749791,15096931,20161298,0,6569634,58086405,0,222567,1114604433
106384176,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,1/1/2021,12/31/2021,365,San Francisco,Non-Profit,General,1101 VAN NESS AVE,SAN FRANCISCO,94109,SUTTER WEST BAY HOSPITALS,17194,380,0,527,331,0,245740321,88648130,53867500,127390697,11607,44691919,623594457,0,3444902,3003876902
106190155,CALIFORNIA REHABILITATION INSTITUTE,1/1/2021,12/31/2021,365,Los Angeles,Investor,Specialty,2070 CENTURY PARK EAST,LOS ANGELES,90067-1907,SELECT MEDICAL CORPORATION,0,0,0,3465,0,0,79709940,9683002,0,150778,0,50378698,565290,0,544806,201590718
106364050,CANYON RIDGE HOSPITAL,1/1/2021,12/31/2021,365,San Bernardino,Investor,Psychiatric,5353 G STREET,CHICO,91710,"UNIVERSAL HEALTH SERVICES, INC.",0,6378,0,0,0,0,6945580,7300165,3880134,0,0,12005675,16063580,0,0,129699976
106190137,CASA COLINA HOSPITAL AND CENTER FOR HEALTH CARE,4/1/2021,3/31/2022,365,Los Angeles,Non-Profit,General,255 E. BONITA AVE.,POMONA,91767,"CASA COLINA, INC.",1124,0,0,1240,0,0,29301318,15885434,701598,7762310,0,25192423,13661731,0,4180237,514394249
106370033,"CASA PALMERA CARE CENTER, LLC",1/1/2021,12/31/2021,365,San Diego,Investor,Specialty,14750 EL CAMINO REAL,DEL MAR,92014,"BEHAVIORAL HEALTH HOLDINGS II, INC.",0,0,930,0,0,0,0,0,0,0,0,0,20302934,0,0,11346511
106190045,CATALINA ISLAND MEDICAL CENTER,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,General,100 FALLS CANYON ROAD,AVALON,90704,AVALON MEDICAL DEVELOPMENT CORPORATION,8,0,0,0,6,0,5922189,0,2506407,565775,0,5230616,0,1090,37177,10225528
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,General,4650 LINCOLN BLVD,MARINA DEL REY,90291,MARINA DEL REY HOSPITAL,4550,0,0,0,0,0,35053808,24117952,4806608,6743035,0,9856593,61972100,-2,-1608851,185230753
106190555,CEDARS-SINAI MEDICAL CENTER,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,General,8700 BEVERLY BLVD,LOS ANGELES,90048-1865,CEDARS-SINAI MEDICAL CENTER,45755,0,0,0,0,0,801968789,281707385,68856842,207165594,0,65828292,2262127054,0,63775089,8714572106
106190148,CENTINELA HOSPITAL MEDICAL CENTER,1/1/2021,12/31/2021,365,Los Angeles,Investor,General,555 EAST HARDY STREET,INGLEWOOD,90301,"PRIME HEALTHCARE SERVICES, INC.",13187,0,0,293,0,0,11713565,67466817,37286395,91388479,0,54789416,0,0,99074,411716787
106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,7/1/2021,6/30/2022,365,Fresno,Investor,Psychiatric,"4411 E KINGS CANYON RD, #319",FRESNO,93702,STARS BEHAVIORAL HEALTH GROUP HOLDING COMPANY,0,515,0,0,0,0,0,0,0,0,0,5425497,0,0,0,11200520
106500954,CENTRAL VALLEY SPECIALTY HOSPITAL,1/1/2021,12/31/2021,365,Stanislaus,Investor,General,730 17TH STREET,MODESTO,95354-1209,GURPREET SINGH RANDHAWA,0,0,0,0,762,0,13376406,0,478612,0,0,37835104,0,0,0,146030980
106301140,CHAPMAN GLOBAL MEDICAL CENTER,1/1/2021,12/31/2021,365,Orange,Investor,General,2601 CHAPMAN AVENUE,ORANGE,92869,"KPC HEALTHCARE, INC.",1743,251,0,0,11,0,8437628,5951492,1073590,5680732,0,15664665,9773763,1,678906,22201149
106434051,CHILDREN'S HEALTHCARE ORGANIZATION OF NORTHERN CA - PEDIATRIC HOSPITAL,1/1/2021,12/31/2021,365,Santa Clara,Investor,General,3777 S BASCOM AVENUE,CAMPBELL,95008,K.MCGUIRE & D. NICCUM,0,0,0,0,17,0,0,0,9652396,1897480,0,0,204702,0,0,7007310
106304113,CHILDREN'S HOSPITAL AT MISSION,7/1/2021,6/30/2022,365,Orange,Non-Profit,Children,27700 MEDICAL CENTER ROAD,MISSION VIEJO,92691,CHILDREN'S HOSPITAL AT MISSION,1395,0,0,0,0,0,0,0,2926700,15869184,0,2673381,59729268,0,1204216,61482456
106190170,CHILDREN'S HOSPITAL LOS ANGELES,7/1/2021,6/30/2022,365,Los Angeles,Non-Profit,Children,"4650 SUNSET BOULEVARD, MS 21",LOS ANGELES,90027,CHILDREN'S HOSPITAL LOS ANGELES,17501,0,0,0,0,0,2135340,0,602447016,118504219,0,61877504,294076645,625,17210959,2047619181
106300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,7/1/2021,6/30/2022,365,Orange,Non-Profit,Children,1201 W. LA VETA AVE,ORANGE,92868,CHILDREN'S HOSPITAL OF ORANGE COUNTY,11070,782,0,0,0,0,225209,0,21181620,345803775,0,8135948,463066362,0,7595106,1509366241
106382715,CHINESE HOSPITAL,1/1/2021,12/31/2021,365,San Francisco,Non-Profit,General,845 JACKSON STREET,SAN FRANCISCO,94133,CHINESE HOSPITAL ASSOCIATION,1300,0,0,0,0,0,17384574,25087646,291705,21569451,0,27065332,38015,0,1605381,304914670
106361144,CHINO VALLEY MEDICAL CENTER,1/1/2021,12/31/2021,365,San Bernardino,Investor,General,5451 WALNUT AVENUE,CHINO,91710,VERITAS HEALTH SERVICES INCORPORATED,4005,0,0,0,0,0,13113772,17300667,16133746,23206380,0,16078102,2020161,0,18360293,154275297
106314029,CIRBY HILLS BEHAVIORAL HEALTH - PHF,7/1/2021,6/30/2022,365,Placer,Investor,Psychiatric,101 CIRBY HILLS DRIVE,ROSEVILLE,95678,"NORTH VALLEY BEHAVIORAL HEALTH, LLC",0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,930961
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,10/1/2020,9/30/2021,365,Los Angeles,Non-Profit,Specialty,1500 EAST DUARTE ROAD,DUARTE,91010,CITY OF HOPE NATIONAL MEDICAL CENTER,7431,0,0,0,0,0,378343155,104860956,129282856,98022564,0,-2054822,739653977,0,396551,2830279706
106100005,CLOVIS COMMUNITY MEDICAL CENTER,9/1/2020,8/31/2021,365,Fresno,Non-Profit,General,2755 HERNDON AVE,CLOVIS,93611,COMMUNITY MEDICAL CENTERS,15876,0,0,0,0,0,104742559,37923848,6982009,58599277,0,9808726,237349690,6719660,12150968,814445693
106100697,COALINGA REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,365,Fresno,Investor,General,1191 PHELPS DRIVE,COALINGA,93210-9609,"COALINGA MEDICAL CENTER, LLC",600,0,0,0,91,0,7547998,0,8895335,0,0,5961415,0,0,2788276,26038867
106105051,COALINGA STATE HOSPITAL,7/1/2021,6/30/2022,365,Fresno,State,Specialty,24511 W. JAYNE AVENUE,COALINGA,93210,STATE OF CALIFORNIA,0,3,0,0,108,0,0,0,0,0,0,0,0,0,0,0
106190766,COAST PLAZA HOSPITAL,1/1/2021,12/31/2021,365,Los Angeles,Investor,General,13100 STUDEBAKER ROAD,NORWALK,90650,PIPELINE HEALTH,1994,0,0,0,0,0,11343937,7324757,7184027,11253556,0,1366345,3118169,0,54176,26400941
106190184,COLLEGE HOSPITAL,1/1/2021,12/31/2021,365,Los Angeles,Investor,Psychiatric,10802 COLLEGE PLACE,CERRITOS,90703,CERRITOS TOWNHOUSE INVESTMENT CO.,0,3903,0,0,0,0,18099031,9718795,3257931,0,0,36832549,4251014,166471,0,24230190
106301155,COLLEGE HOSPITAL COSTA MESA,1/1/2021,12/31/2021,365,Orange,Investor,Psychiatric,301 VICTORIA STREET,COSTA MESA,92627,"CHCM, INC.",0,2559,1434,0,0,0,3912866,1163086,111348089,264577,3046254,44756,3815041,0,30673,19965959
106190587,COLLEGE MEDICAL CENTER,1/1/2021,12/31/2021,365,Los Angeles,Investor,General,2776 PACIFIC AVE,LONG BEACH,90806,"CHLB, LLC",3025,5175,0,0,0,0,13324634,5633302,148749105,9978102,0,3971537,0,0,57517,123336165
106361458,COLORADO RIVER MEDICAL CENTER,1/1/2021,12/31/2021,365,San Bernardino,Non-Profit,General,1401 BAILEY AVENUE,NEEDLES,92363,"COMMUNITY HEALTH PARTNER, INC.",315,0,0,0,0,0,2846761,0,4611052,0,0,1217887,566043,0,142432,13907060
106060870,COLUSA MEDICAL CENTER,1/1/2021,12/31/2021,365,Colusa,Non-Profit,General,199 E WEBSTER ST,COLUSA,95932-3310,"AMERICAN SPECIALTY HEALTHCARE, INC",941,0,0,0,84,0,9726767,0,10036510,0,0,5001206,0,0,1203703,57936896
106190475,COMMUNITY HOSPITAL LONG BEACH,1/1/2021,12/31/2021,365,Los Angeles,Investor,General,1720 TERMINO AVENUE,LONG BEACH,90804,"MWN COMMUNITY HOSPITAL, LLC",815,457,0,0,0,0,3052239,1049485,505388,588666,0,1314914,948099,0,1144249,6900820
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,1/1/2021,12/31/2021,365,Los Angeles,Investor,General,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,PIPELINE HEALTH,3127,0,0,0,0,0,7396964,8345129,22427099,21724356,0,2373645,1956720,0,290103,70145505
106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,7/1/2021,6/30/2022,365,San Bernardino,Non-Profit,General,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,92411,DIGNITY HEALTH,6262,3752,0,0,1060,0,10744626,24156049,72515913,102872836,0,1156356,37577892,0,293498,157501736
106270744,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,1/1/2021,12/31/2021,365,Monterey,Non-Profit,General,23625 W.R. HOLMAN HIGHWAY,MONTEREY,93940,COMMUNITY HOSPITAL FOUNDATION,11863,848,0,241,633,0,207644358,25514504,10915343,28068026,0,26327896,424430259,0,3439578,989631299
106560473,COMMUNITY MEMORIAL HOSPITAL OF SAN BUENAVENTURA,1/1/2021,12/31/2021,365,Ventura,Non-Profit,General,147 N. BRENT STREET,VENTURA,93003-2809,COMMUNITY MEMORIAL HOSPITAL,12473,0,0,0,0,0,92833557,75067073,46346307,38476746,0,9466410,204946215,1,8271717,973567747
106100717,COMMUNITY REGIONAL MEDICAL CENTER - FRESNO,9/1/2020,8/31/2021,365,Fresno,Non-Profit,General,2823 FRESNO STREET,FRESNO,93715,COMMUNITY MEDICAL CENTERS,35011,2855,0,742,199,0,354449018,101713276,226448752,347329587,0,26736643,263946235,0,1080688,1992621410
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,365,Contra Costa,City/County,General,2500 ALHAMBRA STREET,MARTINEZ,94533,COUNTY OF CONTRA COSTA,6313,791,0,0,0,0,49173911,0,146136905,231344453,1,27470632,33588470,0,2220350,644524420
106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,1/1/2021,12/31/2021,365,Riverside,Investor,General,800 SOUTH MAIN STREET,CORONA,92880,"UNIVERSAL HEALTH SERVICES, INC.",7226,1587,0,0,523,0,25644365,36721866,23551765,50712582,0,16059921,46449445,1185266,7189184,177349652
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - BAKERSFIELD,1/1/2021,12/31/2021,365,Kern,Investor,Psychiatric,"6700 EUCALYPTUS DRIVE, SUITE C",BAKERSFIELD,93306,"CRESTWOOD BEHAVIORAL HEALTH, INC.",0,390,0,0,0,0,0,0,0,0,4581051,0,0,0,0,5177459
106344170,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - CARMICHAEL,1/1/2021,12/31/2021,365,Sacramento,Investor,Psychiatric,4741 ENGLE ROAD,CARMICHAEL,95608,"CRESTWOOD BEHAVIORAL HEALTH, INC.",0,363,0,0,0,0,0,0,0,0,4681380,0,0,0,0,8388265
106344188,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - SACRAMENTO,1/1/2021,12/31/2021,365,Sacramento,Investor,Psychiatric,"2600 STOCKTON BLVD, SUITE B",SACRAMENTO,95817,"CRESTWOOD BEHAVIORAL HEALTH, INC.",0,266,0,0,0,0,0,0,0,0,4740930,0,0,0,0,8453335
